[129260],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,402,205,368",,,,,"1,177,755,034","7,173,261,485",,,,,,,,,,,,,,,,,,,,,"4,431,675,188",,,,,,,,,,,,,,,"618,046,699",,,,,,,,,-199,,,"97,805,319,152",-199,,,,,"2,810,257,201","1,128,024,644","5,568,787,055","53,993,689",,,,"-5,603,493,252","-5,657,486,941",,,"103,374,106,207",,,,,
[023810],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,124,969,028",,,,,"655,891,273","246,213,080",,,,,,,,,,,,,,,,,,,,,"267,589,817",,,,,,,,,,,,,,,"3,735,066,019",,,,,,,,,212,,,"26,926,934,856",212,,,,,"91,671,782","4,293,368,419","1,877,686,808","365,987,009",,,,"2,120,418,793","2,486,405,802",,,"28,804,621,664",,,,,
[007570],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,210,465,040",,,,,"1,594,166,391","258,941,731",,,,,,,,,,,,,,,,,,,,,"13,602,376,519",,,,,,,,,,,,,,,"2,378,329,525",,,,,,,,,185,,,"28,826,705,233",185,,,,,"1,320,815,530","250,370,995","19,191,171,084","116,264,033",,,,"3,358,981,132","3,475,245,165",,,"48,017,876,317",,,,,
[159580],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,603,380,360",,,,,"254,290,525","68,250,732",,,,,,,,,,,,,,,,,,,,,"17,217,771,731",,,,,,,,,,,,,,,,,,,,0,,,,114,114,0,"26,227,905,548",114,114,0,,,"270,881,789","173,440,295","19,821,152,091","436,344,518",,,,"2,255,634,141","2,691,978,659",,,"46,049,057,639",,,,,
[054950],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,882,018,158",,,,,"305,252,865","347,011,875",,,,,,,,,,,,,,,,,,,,,"2,999,352,849",,,,,,,,,,,,,,,"1,531,343,408",,,,,,,,,348,,,"15,503,091,598",,,,,,"125,258,104","324,983,499","7,412,714,415","1,006,012,814",,,,"2,033,971,729","3,039,984,543",,,"22,915,806,013",,,,,
[000480],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,693,443,324",,,,,"865,591,435","33,790,276",,,,,,,,,,,,,,,,,,,,,"10,930,916,496",,,,,,,,,,,,,,,,,,,,,,,,"2,922",,,"106,133,919,327","2,922",,,,,"1,286,029,967","5,783,064,523","17,624,359,820","2,526,866,486",,,,"9,495,412,553","12,022,279,039",,,"123,758,279,147",,,,,
[034940],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"401,770,670",,,,,"311,936,292","65,538,685",,,,,,,,,,,,,,,,,,,,,"6,562,454,428",,,,,,,,,,,,,,,,,,,,,,,,13,,,"8,610,581,648",13,,,,,"310,214,093","28,545,313","6,964,225,098",,,,,"366,499,497","366,499,497",,,"15,574,806,746",,,,,
[185750],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,711,625,021",,,,,"1,025,504,336","1,043,077,645",,,,,,,,,,,,,,,,,,,,,"52,008,468,467",,,,,,,,,,,,,,,"872,868,944",,,,,,,,,984,,,"146,159,005,917",,,,,,"1,045,638,296","443,330,240","87,735,236,963","4,565,267,056",,,,"10,653,607,656","15,218,874,712",,,"233,894,242,880",,,,,
[001630],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,351,349,928",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,705,410,772",,,,,,,,,,,,,,,"460,000,000",,,,,,,,,"1,435",,,0,,,,,,"67,498,325","260,867,666","9,056,760,700","-100,095,540",,,,"7,190,825,902","7,090,730,362",,,"9,056,760,700",,,,,
[044380],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-489,672,015",,,,,"12,880,642","20,299,710",,,,,,,,,,,,,,,,,,,,,"1,228,597,676",,,,,,,,,,,,,,,"299,162,360",,,,,,,,,,,,"9,266,603,930",,,,,,"65,158,950","369,469,058","738,925,661","62,012,652",,,,"-553,955,987","-491,943,335",,,"10,005,529,591",,,,,
[043610],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,847,937,534","2,458,311,937",,,,,"350,275","38,326,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,44,,,,44,,,,,"91,705,661","520,166,783",,"401,675,351",,"114,733,031",,"2,561,854,145","2,963,529,496",,,"51,306,249,471",,,,,
[035000],"3,750,000",,"145,092,814",,"136,560,264","28,419,307",,,,,,,,,,,,,,"182,342,310",,,,"344,404,867",,"19,357,200",,,,,,,,,,,,,,,,,,,,,,,,"3,558,800","173,983,756",,,,"58,781",,,,,,"5,768",,,,,,,"614,622,754","6,975,654","208,682",,,"-501,226,358",,,,,"6,975,654","267,463",,,"220,471,452","34,461,000",,"20,205,000",,,,,,,,,,,"1,941,046,487",,"5,600,282","15,211,871","3,887,039,661","22,985,310","51,726,132","75,414,299","25,368,312",,,,,,,,,,,,,,,,,,,,10,,,"87,406,495",10,,,,,"3,564,568","173,983,756","3,385,813,303","-478,762,064",,,,"154,663,085","-324,098,979",,,"3,473,219,798",,,,,
[002780],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,818,783,132",,,,,"2,234,598,912","1,638,143,519",,,,,,,,,,,,,,,,,,,,,"7,041,595,044",,,,,,,,,,,,,,,,,,,,,,,,51,,,"135,000,629,583",51,,,,,"153,189,847","241,861,454","13,860,378,176",,,,,"7,503,910,132","7,503,910,132",,,"148,861,007,759",,,,,
[030200],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,037,839,000,000","296,445,000,000",,,,,"165,397,000,000","56,836,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,194",,,,"1,194",,,,,"114,110,000,000","106,287,000,000",,"104,548,000,000",,,,"292,635,000,000","397,183,000,000",,,"4,334,284,000,000",,,,,
[053210],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,874,973,498",,,,,"1,129,566,856","1,421,210,529",,,,,,,,,,,,,,,,,,,,,"142,676,562,930",,,,,,,,,,,,,,,,,,,,,,,,289,,,,289,,,,,"93,766,551","1,738,690,926","162,551,536,428","7,484,428,396",,,,"13,743,825,804","21,228,254,200",,,,,,,,
[024880],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,935,179,414",,,,,"955,556,332","216,222,172",,,,,,,,,,,,,,,,,,,,,"7,227,997,743",,,,,,,,,,,,,,,,,,,,,,,,123,123,,"58,449,796,597",123,123,,,,"1,871,451,386","1,068,208,603","9,163,177,157","55,687,660",,,,"1,815,583,131","1,871,270,791",,,"67,612,973,754",,,,,
[052400],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"666,242,401",,,,,"543,678,523","106,143,035",,,,,,,,,,,,,,,,,,,,,"7,239,094,565",,,,,,,,,,,,,,,,,,,,,,,,275,,,"16,172,991,556",275,,,,,"439,303,912","3,446,055,812","7,905,336,966",0,,,,"4,110,529,789","4,110,529,789",,,"24,078,328,522",,,,,
[005420],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"816,251,726",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,262,211,137",,,,,,,,,,,,,,,"-477,388,676",,,,,,,,,-60,,,"22,875,706,900",-86,,,,,"1,718,977,004","431,375,837","3,078,462,863",0,,,,"-948,738,117","-948,738,117",,,"25,954,169,763",,,,,
[066310],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"352,018,468",,,,,"157,653,176","115,435,005",,,,,,,,,,,,,,,,,,,,,"828,323,362",,,,,,,,,,,,,,,,,,,,,,,,74,,,"3,829,738,314",,,,,,"97,875","372,718,780","1,180,341,830","168,519,137",,,,"598,338,407","766,857,544",,,"5,010,080,144",,,,,
[219130],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-103,442,717",,,,,"17,520,204","559,052",,,,,,,,,,,,,,,,,,,,,"703,845,610",,,,,,,,,,,,,,,,,,,,,,,,2,,,"7,156,471,997",2,,,,,"969,177","101,230,373","600,402,893","4,186,300",,,,"9,593,331","13,779,631",,,"7,756,874,890",,,,,
[009410],,,,"-1,684,540,749",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,824,494,770",,,,,"66,548,823,623",,,,,"1,343,206,119","7,567,484,963",,,,,,,,,,,,,,,,,,,,,"17,139,954,021",,,,,,,,,,,,,,,"3,610,864,700",,,,,,,,,649,,,"369,875,013,795",649,,,,,"4,647,172,144","881,478,553","83,688,777,644","15,789,806,318",,,,"44,379,909,570","60,169,715,888",,,"453,563,791,439",,,,,
[131290],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,203,385,553",,,,,"164,375,506","68,640,805",,,,,,,,,,,,,,,,,,,,,"4,405,118,444",,,,,,,,,,,,,,,,,,,,,,,,-39,,,"13,415,799,406",-39,,,,,"2,214,208,828","2,924,093,734","3,201,732,891",0,,,,"-397,765,946","-397,765,946",,,"16,617,532,297",,,,,
[062860],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121,656,996",,,,,"2,371,932",3,,,,,,,,,,,,,,,,,,,,,"2,070,673,476",,,,,,,,,,,,,,,,,,,,,,,,64,,,"7,483,085,929",64,,,,,"26,075,215","73,692,322","2,192,330,472",,,,,"171,646,032","171,646,032",,,"9,675,416,401",,,,,
[106240],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"685,377,137",,,,,"1,621,527,922","657,669,328",,,,,,,,,,,,,,,,,,,,,"6,146,223,765",,,,,,,,,,,,,,,"76,883,484",,,,,,,,,38,,,"16,412,986,136",38,,,,,"475,076,143","258,337,276","6,831,600,902",0,,,,"1,509,380,348","1,509,380,348",,,"23,244,587,038",,,,,
[016800],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,510,767,919",,,,,"3,308,273,021","330,921,357",,,,,,,,,,,,,,,,,,,,,"15,125,455,494",,,,,,,,,,,,,,,,,,,,,,,,993,,,"59,547,930,932",,,,,,"284,137,857","4,970,142,612","19,636,223,413","2,803,988,803",,,,"9,370,135,535","12,174,124,338",,,"79,184,154,345",,,,,
[043370],,,,,,,,,,,,,,,"138,449,553,339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,066,363,583",,,,,"3,053,073,064","539,168,825",,,,,,,,,,,,,,,,,,,,,"11,350,087,473",,,,,,,,,,,,,,,,,,,,,,,,164,,,"138,449,553,339",,,,,,"577,784,660","1,997,521,033","12,416,451,056","1,553,682,393",,,,"3,446,321,802","5,000,004,195",,,"150,866,004,395",,,,,"150,866,004,395"
[075130],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,104,301,857","170,171,517",,,,,"3,092,692","441,855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,24,,,,,"927,334","83,002,079",,"86,658,915",,,,"197,446,834","254,897,099","168,238,184","29,208,650","2,274,473,374",,,"2,274,473,374",,
[032580],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"379,374,220",,,,,"12,161,422","12,424,214",,,,,,,,,,,,,,,,,,,,,"2,173,157,217",,,,,,,,,,,,,,,,,,,,,,,,13,,,"10,628,990,574",13,,,,,"491,383,304","408,105,494","2,552,531,437","6,899,383",,,,"288,934,235","295,833,618",,,"13,181,522,011",,,,,
[261200],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,421,740","-11,421,740",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,,"4,282,631","35,737,454",,"6,872,064",,,,"13,161,019","20,033,083","13,161,019",,0,,,,,
[013030],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,321,593,267",,,,,"1,430,335,659","250,923,976",,,,,,,,,,,,,,,,,,,,,"3,656,601,394",,,,,,,,,,,,,,,,,,,,,,,,200,,,"25,276,748,652",,,,,,"10,972,713","865,546,787","4,978,194,661","629,221,899",,,,"2,726,357,125","3,355,579,024",,,"30,254,943,313",,,,,
[002960],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,979,864,402",,,,,"709,693,740","440,756,247",,,,,,,,,,,,,,,,,,,,,"12,422,082,685",,,,,,,,,,,,,,,,,,,,,,,,"3,853",,,"33,526,438,284",,,,,,0,"239,288,063","18,401,947,087","1,478,635,700",,,,"5,009,454,258","6,488,089,958",,,"51,928,385,371",,,,,
[017890],,,,,"496,163,588","18,768,494",,,,"751,914,119",,,,,"45,299,601,963",,,,,"211,322,470",,,"1,890,000","203,244,457","41,136,415",,,,"1,501,928,650",,,,,,,"38,786,929","836,761","101,511,992",,"755,279",,,,,,,,,"8,211,595",,"171,026,111",,,,,,,,,"3,000","453,846","33,180",,,,,"46,025,858",,"11,767,368","144,004,910",,,"10,342,846,950","1,321,600",,,,"152,903,050","146,713,910",,,"99,378,408","5,906,920",,"189,455,768",,,,,,,,,,,"1,253,324,101",,"42,952,209","46,280,018","4,282,176,344","8,207,239","36,203,796","24,049,749","25,766,809",,,,,,,,,,,,,,,"816,000",,,,"3,950,000",393,393,,"46,051,516,082",393,393,,,,"487,026","171,781,390","14,625,023,294","2,430,486,684",,,,"8,089,843,770","10,520,330,454","8,089,843,770",,"60,676,539,376",,,"2,138,528,800",,"58,538,010,576"
[023350],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121,055,574",,,,,"2,856,997,019","40,021,325",,,,,,,,,,,,,,,,,,,,,"3,905,226,775",,,,,,,,,,,,,,,,,,,,,,,,195,,,"40,402,915,299",195,,,,,"398,658,137","124,477,968","4,026,282,349","525,243,869",,,,"2,138,607,230","2,663,851,099",,,"44,429,197,648",,,,,
[104700],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,762,717,236",,,,,"3,327,143,589","357,350,984",,,,,,,,,,,,,,,,,,,,,"8,001,929,186",,,,,,,,,,,,,,,,,,,,,,,,268,,,"156,482,750,138",,,,,,"688,242","2,241,615,533","18,764,646,422","3,717,960,105",,"94,744,825",,"12,350,221,852","16,068,181,957",,,"175,247,396,560",,,,,
[002390],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,855,758,593",,,,,"135,168,001","521,465,430",,,,,,,,,,,,,,,,,,,,,"31,899,016,187",,,,,,,,,,,,,,,,,,,,,,,,205,,,"69,814,356,117",205,,,,,"1,408,172,750","107,926,569","38,754,774,780","2,609,540,515",,,,"2,559,674,468","5,169,214,983",,,"108,569,130,897",,,,,
[018880],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,395,058,395",,,,,"21,261,245,187","32,049,047,872",,,,,,,,,,,,,,,,,,,,,"63,016,467,864",,,,,,,,,,,,,,,,,,,,,,,,20,,,"547,334,038,706",20,,,,,"8,234,265,848","3,233,909,180","88,411,526,259","-937,981,186",,,,"10,544,880,228","9,606,899,042",,,"635,745,564,965",,,,,
[024740],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"507,054,240",,,,,"665,338,402","444,519,980",,,,,,,,,,,,,,,,,,,,,"2,054,020,010",,,,,,,,,,,,,,,,,,,,,,,,2,,,"28,059,940,565",2,,,,,"782,255,937","17,476,448","2,561,074,250","-95,439,447",,,,"58,532,620","-36,906,827",,,"30,621,014,815",,,,,
[300720],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,559,296,228",,,,,"1,014,533,046","97,343,539",,,,,,,,,,,,,,,,,,,,,"23,485,802,659",,,,,,,,,,,,,,,,,,,,,,,,908,,,"176,722,504,462",,,,,,"1,515,813,042","670,017,297","28,045,098,887","866,359,773",,,,"3,764,330,217","4,630,689,990",,,"204,767,603,349",,,,,
[003300],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,596,503,175",,,,,"70,019,002","2,774,880,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,219,318,528",,,,,,,,,"1,042",,,,,,,,,"1,948,912,311","3,723,191,387",,"3,420,745,705",,,,"6,245,174,876","9,665,920,581",,,,,,,,
[130660],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,348,551,323",,,,,"717,565,052","113,200,170",,,,,,,,,,,,,,,,,,,,,"3,945,960,357",,,,,,,,,,,,,,,,,,,,,,,,173,158,15,"45,534,915,306",,,,,,"193,421,248","609,082,584","9,294,511,680","1,227,821,030",,,,"5,638,779,437","6,368,577,541","5,140,756,511","498,022,926","54,829,426,986",,,,,
[097230],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-29,000,000",,,,,"15,441,000,000","40,097,000,000",,,,,,,,,,,,,,,,,,,,,"30,838,000,000",,,,,,,,,,,,,,,"112,000,000",,,,,,,,,-867,,,"278,358,000,000",,,,,,"65,768,000,000","8,972,000,000","30,809,000,000","-9,214,000,000",,,,"-72,155,000,000","-81,369,000,000",,,"309,167,000,000",,,,,
[003480],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,087,000,000",,,,,,"54,381,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,988",,,"1,009,000,000",,,,,,"546,000,000","133,000,000",,"2,156,000,000",,,,"-51,863,000,000","-49,707,000,000",,,"6,096,000,000",,,,,
[086280],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"143,915,915,208",,,,,"51,215,676,762","72,798,503,172",,,,,,,,,,,,,,,,,,,,,"89,794,672,763",,,,,,,,,,,"2,972",,,,,,,,,,,,,,,,"3,155,268,510,126",,,,,,"21,815,585,385","53,934,637,203","233,710,587,971","43,018,026,554",,,,"111,434,114,062","154,452,140,616",,,"3,388,979,098,097",,,,,
[012330],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"328,334,000,000",,,,,"23,633,000,000","17,045,000,000",,,,,,,,,,,,,,,,,,,,,"444,617,000,000",,,,,,,,,,,,,,,"210,859,000,000",,,,,,,,,"5,981",,,"4,535,499,000,000",,,,,,"20,060,000,000","234,921,000,000","772,951,000,000","194,236,000,000",,,,"566,406,000,000","760,642,000,000",,,"5,308,450,000,000",,,,,
[069960],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,980,511,000",,,,,"6,221,523,000","1,558,016,000",,,,,,,,,,,,,,,,,,,,,"210,048,503,000",,,,,,,,,,,,,,,,,,,,,,,,"2,685",,,"66,395,107,000","2,685",,,,,"3,786,817,000","13,269,082,000","276,029,014,000","19,555,241,000",,,,"60,571,042,000","80,126,283,000",,,"342,424,121,000",,,,,
[005380],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"235,271,000,000",,,,,"237,841,000,000","192,992,000,000",,,,,,,,,,,,,,,,,,,,,"1,676,519,000,000",,,,,,"3,023",,,"3,023",,,,,,,,,,,,,,,,,,"9,365,142,000,000",,,,,,"53,646,000,000","340,555,000,000","1,911,790,000,000","107,885,000,000",,"335,705,000,000",,"794,849,000,000","902,734,000,000",,,"11,276,932,000,000",,,,,
[011760],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,924,732,250",,,,,"11,200,299,642","12,505,671,319",,,,,,,,,,,,,,,,,,,,,"14,487,868,078",,,,,,,,,,,,,,,"5,555,442,581",,,,,,,,,665,,,"852,641,250,928",665,,,,,"6,984,609,304","5,131,604,513","22,412,600,328","1,906,154,824",,,,"8,415,643,539","10,321,798,363",,,"875,053,851,256",,,,,
[227840],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,660,637,542",,,,,"232,518,752","204,861,197",,,,,,,,,,,,,,,,,,,,,"3,369,247,555",,,,,,,,,,,,,,,"1,417,892,682",,,,,,,,,409,,,"40,755,315,057",,,,,,"331,624","352,956,462","6,029,885,097","901,923,316",,,,"3,556,889,301","4,458,812,617",,,"46,785,200,154",,,,,
[008770],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,542,844,725",,,,,,,,,,,,,,,,,,,,,,,,"5,727,594,883",,,,"72,007,165,062",,,,,"-11,621,897,245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,826,795,704",,,"-10,646,340,093",,,,,,"1,210",,,,"1,260",,,,,,,,"-14,558,472,113",,,,,"60,385,267,817",,,"1,046,128,770,827",,,,,
[010660],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,805,693,406",,,,,"430,425,746","27,069",,,,,,,,,,,,,,,,,,,,,"5,284,443,424",,,,,,,,,,,,,,,,,,,,,,,,-58,,,"36,172,265,700",,,,,,"4,486,006","140,004,477","3,478,750,018","-23,653,888",,,,"-1,216,122,370","-1,239,776,258",,,"39,651,015,718",,,,,
[004800],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,862,324,766",,,,,"524,418,529","210,785,520",,,,,,,,,,,,,,,,,,,,,"12,005,397,121",,,,,,,,,,,,,,,853,,,,,,,,,,,,"81,988,501,614",,,,,,"2,809,400,196","1,199,384,215","32,867,721,887","2,218,379,583",,,,"17,347,562,211","19,565,941,794",,,"114,856,223,501",,,,,
[298020],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,531,173,658",,,,,"28,273,667,728","3,279,007,104",,,,,,,,,,,,,,,,,,,,,"29,157,292,483",,,,,,,,,,,,,,,"3,096,642,510",,,,,,,,,"8,340",,,"824,245,307,353","8,340",,,,,"21,811,653,023","14,961,755,853","55,785,108,651","5,681,799,497",,,,"35,994,137,615","41,675,937,112",,,"880,030,416,004",,,,,
[298000],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,031,997,841",,,,,"1,430,557,811","1,213,335,722",,,,,,,,,,,,,,,,,,,,,"14,656,192,510",,,,,,,,,,,,,,,0,,,,,,,,,"4,291",,,"405,346,574,753",,,,,,"19,577,575,190","6,251,272,828","46,156,094,973","-713,610,462",,,,"13,636,528,030","12,922,917,568",,,"451,502,669,726",,,,,
[050090],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89,861,444",,,,,"42,960,650","1,374,656",,,,,,,,,,,,,,,,,,,,,"491,066,992",,,,,,,,,,,,,,,0,,,,,,,,,1,,-12,"1,926,012,237",1,,-12,,,"10,661,097","28,713,277","580,928,436",0,,0,,"-699,450,554","88,956,582","88,956,582","-788,407,136","2,506,940,673",,,,,
